,Year,Predicted,Actual,Error,Country
1,1991,254074898.22932243,252981000,1093898.2293224335,United States
2,1992,257060492.5729313,256514000,546492.5729312897,United States
3,1993,260046086.91654015,259919000,127086.91654014587,United States
4,1994,263031681.26014996,263126000,-94318.73985004425,United States
5,1995,266017275.6037588,266278000,-260724.39624118805,United States
6,1996,269002869.94736767,269394000,-391130.05263233185,United States
7,1997,271988464.2909765,272657000,-668535.7090234756,United States
8,1998,274974058.6345854,275854000,-879941.3654146194,United States
9,1999,277959652.97819424,279040000,-1080347.0218057632,United States
10,2000,280945247.32180405,282162411,-1217163.6781959534,United States
11,2001,283930841.6654129,284968955,-1038113.3345870972,United States
12,2002,286916436.00902176,287625193,-708756.990978241,United States
13,2003,289902030.3526306,290107933,-205902.64736938477,United States
14,2004,292887624.6962395,292805298,82326.69623947144,United States
15,2005,295873219.0398483,295516599,356620.03984832764,United States
16,2006,298858813.38345814,298379912,478901.3834581375,United States
17,2007,301844407.727067,301231207,613200.7270669937,United States
18,2008,304830002.07067585,304093966,736036.0706758499,United States
19,2009,307815596.4142847,306771529,1044067.4142847061,United States
20,2010,310801190.75789356,309321666,1479524.7578935623,United States
21,2011,313786785.1015034,311556874,2229911.101503372,United States
22,2012,316772379.4451122,313830990,2941389.4451122284,United States
23,2013,319757973.7887211,315993715,3764258.7887210846,United States
24,2014,322743568.13232994,318301008,4442560.132329941,United States
25,2015,325729162.4759388,320635163,5093999.475938797,United States
26,2016,328714756.81954765,322941311,5773445.819547653,United States
27,2017,331700351.16315746,324985539,6714812.163157463,United States
28,2018,334685945.5067663,326687501,7998444.506766319,United States
